Model,Language,Metric,Mean,CI_low,CI_high,N
LLaMA2-13B,English,Token-F1,0.2891272380600681,0.2813845437218705,0.2960992842613945,571
LLaMA2-13B,English,Faithfulness,0.3966072113071723,0.3632204998493912,0.4270400996423368,571
LLaMA2-13B,Hindi,ROUGE-L,0.10005475903981839,0.0975587226330327,0.10250057881070722,341
LLaMA2-13B,Hindi,BERTScore,0.833378255367279,0.8321565046906472,0.8345398366451263,341
LLaMA2-13B,Hindi,Token-F1,0.1973060582955949,0.1911153436711333,0.20308365605126252,341
LLaMA2-13B,Hindi,Faithfulness,0.10757411572519933,0.08302135726826716,0.1297262967504635,341
LLaMA2-13B,Marathi,ROUGE-L,0.08795231354494164,0.08441904065226297,0.09151401917400717,352
LLaMA2-13B,Marathi,BERTScore,0.8263527154922485,0.8249420419335365,0.8278199389576912,352
LLaMA2-13B,Marathi,Token-F1,0.1458716597751932,0.13666722356192482,0.155281502313247,352
LLaMA2-13B,Marathi,Faithfulness,0.14659560366883603,0.12062545258713726,0.17625114373348136,352
LLaMA2-13B,Bangla,ROUGE-L,0.0955400663650652,0.09364738080477693,0.097629716187834,614
LLaMA2-13B,Bangla,BERTScore,0.8299688696861267,0.8289943248033523,0.8309681057929993,614
LLaMA2-13B,Bangla,Token-F1,0.17781661967638868,0.17228353414507558,0.18325897023008003,614
LLaMA2-13B,Bangla,Faithfulness,0.07967672484833216,0.0664702701125109,0.09509059371589546,614
Llama-3.1-8b-Instruct,English,ROUGE-L,0.20231840087259645,0.19396807162362234,0.21078469763757784,97
Llama-3.1-8b-Instruct,English,BERTScore,0.8671046495437622,0.8648628860712051,0.8690990716218948,97
Llama-3.1-8b-Instruct,English,Token-F1,0.4322563384370948,0.4210285675883314,0.4439521401364181,97
Llama-3.1-8b-Instruct,English,Faithfulness,0.5480756690154409,0.4664684652191822,0.6261881865568809,97
Llama-3.1-8b-Instruct,Hindi,ROUGE-L,0.16812904548890795,0.16382168038094894,0.17274302281842388,100
Llama-3.1-8b-Instruct,Hindi,BERTScore,0.8572978377342224,0.8557840317487717,0.8588229015469551,100
Llama-3.1-8b-Instruct,Hindi,Token-F1,0.36583892960843684,0.35586626932970916,0.37486313616743605,100
Llama-3.1-8b-Instruct,Hindi,Faithfulness,0.353814127354417,0.27991612909623653,0.42611391062341863,100
Llama-3.1-8b-Instruct,Marathi,ROUGE-L,0.16681195030909252,0.15788610800392974,0.1743609638043663,94
Llama-3.1-8b-Instruct,Marathi,BERTScore,0.8521684408187866,0.8491357579827309,0.8550246849656105,94
Llama-3.1-8b-Instruct,Marathi,Token-F1,0.3079209208241226,0.2798239324217507,0.3328845371962073,94
Llama-3.1-8b-Instruct,Marathi,Faithfulness,0.3570973754543415,0.2898996335466669,0.4349435523942489,94
Llama-3.1-8b-Instruct,Bangla,ROUGE-L,0.16515710644494516,0.15904777352706917,0.17101432203272007,100
Llama-3.1-8b-Instruct,Bangla,BERTScore,0.8528136610984802,0.8504053995013237,0.8550233080983162,100
Llama-3.1-8b-Instruct,Bangla,Token-F1,0.3278714793768167,0.30899841729995436,0.3461868135525163,100
Llama-3.1-8b-Instruct,Bangla,Faithfulness,0.22370002863695845,0.16423699636611855,0.2941676372817601,100
Qwen-2.5-7B,English,ROUGE-L,0.18985952371719061,0.18676203802606545,0.1927382560690198,699
Qwen-2.5-7B,English,BERTScore,0.8672178983688354,0.8663709983229637,0.8679983302950859,699
Qwen-2.5-7B,English,Token-F1,0.39988328512921195,0.3953629184812859,0.404443255543658,699
Qwen-2.5-7B,English,Faithfulness,0.6567013685710432,0.6280254245613628,0.6858066110114949,699
Qwen-2.5-7B,Hindi,ROUGE-L,0.16859975177428715,0.16635815276713925,0.17081970903471788,621
Qwen-2.5-7B,Hindi,BERTScore,0.8619223833084106,0.8611837789416313,0.8626806810498238,621
Qwen-2.5-7B,Hindi,Token-F1,0.3736392528228089,0.36838549111669855,0.37877422271037814,621
Qwen-2.5-7B,Hindi,Faithfulness,0.5211476879576806,0.4883950131611532,0.5531774893461495,621
Qwen-2.5-7B,Marathi,ROUGE-L,0.15347400171950518,0.14901259588764776,0.15789008341296995,353
Qwen-2.5-7B,Marathi,BERTScore,0.8536447882652283,0.8519126921892166,0.8553070157766343,353
Qwen-2.5-7B,Marathi,Token-F1,0.28713133263591345,0.2706189739382179,0.30211400602117766,353
Qwen-2.5-7B,Marathi,Faithfulness,0.40827543828943114,0.3669809957812403,0.45435557281357286,353
Qwen-2.5-7B,Bangla,ROUGE-L,0.16606380792030223,0.16336673649364256,0.1688028615735043,532
Qwen-2.5-7B,Bangla,BERTScore,0.8645393252372742,0.8634365603327752,0.8656345009803772,532
Qwen-2.5-7B,Bangla,Token-F1,0.3377141703553977,0.32985537744982957,0.3467039694324291,532
Qwen-2.5-7B,Bangla,Faithfulness,0.1859266213720176,0.16110585525298635,0.21207182180166037,532
Qwen-2.5-7B-fewshot,English,ROUGE-L,0.2190774611462826,0.20997925258879394,0.22842324634952932,97
Qwen-2.5-7B-fewshot,English,BERTScore,0.8812705874443054,0.8788698002696037,0.8834149375557899,97
Qwen-2.5-7B-fewshot,English,Token-F1,0.4509414987739978,0.43930276814499686,0.4618910287999137,97
Qwen-2.5-7B-fewshot,English,Faithfulness,0.4281495239287999,0.3561037500241301,0.5007026015780865,97
Qwen-2.5-7B-fewshot,Hindi,ROUGE-L,0.18165856652560106,0.17461338288231087,0.18880880195745298,100
Qwen-2.5-7B-fewshot,Hindi,BERTScore,0.8740655779838562,0.8718232318758965,0.8763908207416534,100
Qwen-2.5-7B-fewshot,Hindi,Token-F1,0.39540918817450604,0.3820952691789327,0.40684090645743964,100
Qwen-2.5-7B-fewshot,Hindi,Faithfulness,0.20344345290679486,0.14650868508708662,0.2686944566465681,100
Qwen-2.5-7B-fewshot,Marathi,ROUGE-L,0.17632834116445326,0.16533463135768695,0.18846912266107757,94
Qwen-2.5-7B-fewshot,Marathi,BERTScore,0.8649938106536865,0.8617436558008194,0.8683507978916168,94
Qwen-2.5-7B-fewshot,Marathi,Token-F1,0.3215253529659961,0.2915701282883785,0.3498770029154609,94
Qwen-2.5-7B-fewshot,Marathi,Faithfulness,0.28004080760713784,0.2135885277811309,0.3521468026094458,94
Qwen-2.5-7B-fewshot,Bangla,ROUGE-L,0.1682626289784529,0.1624336777309202,0.1739490031979382,100
Qwen-2.5-7B-fewshot,Bangla,BERTScore,0.8645771145820618,0.8621295928955078,0.8670225366950035,100
Qwen-2.5-7B-fewshot,Bangla,Token-F1,0.33199135585812584,0.31166136600404626,0.3494488688367977,100
Qwen-2.5-7B-fewshot,Bangla,Faithfulness,0.19938543844269588,0.13612698814977195,0.2701133460249985,100
Qwen-2.5-7B-finetuned,English,ROUGE-L,0.14115313135834262,0.13432349833607987,0.14834214186245995,97
Qwen-2.5-7B-finetuned,English,BERTScore,0.8586387038230896,0.8559206455945969,0.8613997235894203,97
Qwen-2.5-7B-finetuned,English,Token-F1,0.3356723588251851,0.3206755814841449,0.3502820394229237,97
Qwen-2.5-7B-finetuned,English,Faithfulness,0.08666151009509628,0.052206850152603144,0.12511776703032998,97
Qwen-2.5-7B-finetuned,Hindi,ROUGE-L,0.12468382280648223,0.11914255486650407,0.13137425420049673,100
Qwen-2.5-7B-finetuned,Hindi,BERTScore,0.8627856373786926,0.8605332374572754,0.8650627955794334,100
Qwen-2.5-7B-finetuned,Hindi,Token-F1,0.2886103936153697,0.2765523972278536,0.30119514949687787,100
Qwen-2.5-7B-finetuned,Hindi,Faithfulness,0.043959575641783884,0.02150499567836232,0.07270881851654849,100
Qwen-2.5-7B-finetuned,Marathi,ROUGE-L,0.1501651400725442,0.13909339758451994,0.16131505930151044,94
Qwen-2.5-7B-finetuned,Marathi,BERTScore,0.8648807406425476,0.8610069915652275,0.8685983523726464,94
Qwen-2.5-7B-finetuned,Marathi,Token-F1,0.29650336934805704,0.2685953429831451,0.3225773965618292,94
Qwen-2.5-7B-finetuned,Marathi,Faithfulness,0.13507020875453662,0.0899624639718937,0.18823628679787593,94
Qwen-2.5-7B-finetuned,Bangla,ROUGE-L,0.13751106691426654,0.1277760668035362,0.14831242608341924,100
Qwen-2.5-7B-finetuned,Bangla,BERTScore,0.8583883047103882,0.8554444074630737,0.8614363312721253,100
Qwen-2.5-7B-finetuned,Bangla,Token-F1,0.29811366782220394,0.2761940548784339,0.31866131775276185,100
Qwen-2.5-7B-finetuned,Bangla,Faithfulness,0.11259994070744142,0.06879395583484438,0.1595369909541332,100
Qwen-2.5-7B-fine_restruct,English,ROUGE-L,0.12011021996892662,0.1138041264488228,0.12643933052795434,97
Qwen-2.5-7B-fine_restruct,English,BERTScore,0.8513565063476562,0.8475692212581635,0.8547608077526092,97
Qwen-2.5-7B-fine_restruct,English,Token-F1,0.25459010055553183,0.24060003397380256,0.2680093145496951,97
Qwen-2.5-7B-fine_restruct,English,Faithfulness,0.15928661811391143,0.11100411277240954,0.21632638132897536,97
Qwen-2.5-7B-fine_restruct,Hindi,ROUGE-L,0.11639419856840998,0.11007418762087981,0.12176728549652371,96
Qwen-2.5-7B-fine_restruct,Hindi,BERTScore,0.8525586724281311,0.8501331955194473,0.8550413087010383,96
Qwen-2.5-7B-fine_restruct,Hindi,Token-F1,0.2712778194202234,0.2578230350223847,0.28426178969354793,96
Qwen-2.5-7B-fine_restruct,Hindi,Faithfulness,0.053176063584639145,0.02920091929142169,0.08295320690212975,96
Qwen-2.5-7B-fine_restruct,Marathi,ROUGE-L,0.1133206839810346,0.09803539264972265,0.1276449871211731,24
Qwen-2.5-7B-fine_restruct,Marathi,BERTScore,0.8474954962730408,0.8407579183578491,0.8537565320730209,24
Qwen-2.5-7B-fine_restruct,Marathi,Token-F1,0.21671195708384064,0.16814997128654888,0.2628341875038422,24
Qwen-2.5-7B-fine_restruct,Marathi,Faithfulness,0.2379328199652567,0.11774196154425833,0.37270818055452154,24
Qwen-2.5-7B-fine_restruct,Bangla,ROUGE-L,0.12478435394778069,0.11914311981480673,0.13056186837825703,94
Qwen-2.5-7B-fine_restruct,Bangla,BERTScore,0.8539942502975464,0.8511480301618576,0.8564864963293075,94
Qwen-2.5-7B-fine_restruct,Bangla,Token-F1,0.2693153437667042,0.25272444369849956,0.2861197257853898,94
Qwen-2.5-7B-fine_restruct,Bangla,Faithfulness,0.08802746383329615,0.046908683076431534,0.13282833245890632,94
